"","gene","Freq"
"34294","CALB1",7
"34296","CALCA",7
"34298","CALCOCO1",7
"34299","CALCOCO2",7
"34300","CALCR",7
"34301","CALCRL",7
"34302","CALD1",7
"34304","CALM1",7
"34305","CALM2",7
"34306","CALM3",7
"34307","CALML3",7
"34311","CALR",7
"34312","CALU",7
"34316","CAMK1G",7
"34317","CAMK2A",7
"34318","CAMK2B",7
"34320","CAMK2G",7
"34324","CAMKK2",7
"34327","CAMLG",7
"34329","CAMSAP1",7
"34330","CAMSAP2",7
"34332","CAMTA1",7
"34334","CAND1",7
"34337","CANX",7
"34339","CAP2",7
"34341","CAPG",7
"34342","CAPN1",7
"34348","CAPN15",7
"34349","CAPN2",7
"34350","CAPN3",7
"34351","CAPN5",7
"34353","CAPN7",7
"34356","CAPNS1",7
"34357","CAPRIN1",7
"34362","CAPZA2",7
"34363","CAPZB",7
"34364","CARD10",7
"34371","CARD8",7
"34376","CARM1",7
"34393","CASC3",7
"34396","CASK",7
"34400","CASP1",7
"34401","CASP10",7
"34403","CASP2",7
"34404","CASP3",7
"34405","CASP4",7
"34407","CASP6",7
"34408","CASP7",7
"34409","CASP8",7
"34411","CASP9",7
"34413","CASQ2",7
"34414","CASR",7
"34416","CAST",7
"34418","CAT",7
"34427","CAV1",7
"34428","CAV2",7
"34433","CBFA2T2",7
"34435","CBFB",7
"34436","CBL",7
"34437","CBLB",7
"34445","CBR1",7
"34448","CBR4",7
"34455","CBX2",7
"34456","CBX3",7
"34460","CBX4",7
"34461","CBX5",7
"34462","CBX6",7
"34463","CBX7",7
"34465","CBY1",7
"34478","CCDC106",7
"34494","CCDC130",7
"34529","CCDC181",7
"34535","CCDC22",7
"34538","CCDC28A",7
"34555","CCDC6",7
"34577","CCDC85B",7
"34585","CCDC9",7
"34588","CCDC92",7
"34589","CCDC93",7
"34594","CCHCR1",7
"34600","CCL11",7
"34601","CCL13",7
"34606","CCL17",7
"34608","CCL19",7
"34609","CCL2",7
"34610","CCL20",7
"34611","CCL21",7
"34612","CCL22",7
"34622","CCL5",7
"34624","CCL8",7
"34634","CCNA2",7
"34635","CCNB1",7
"34640","CCND1",7
"34641","CCND2",7
"34642","CCND3",7
"34646","CCNF",7
"34647","CCNG1",7
"34649","CCNG2",7
"34650","CCNH",7
"34651","CCNI",7
"34658","CCNO",7
"34659","CCNT1",7
"34660","CCNT2",7
"34664","CCP110",7
"34665","CCPG1",7
"34666","CCR1",7
"34668","CCR2",7
"34670","CCR4",7
"34671","CCR5",7
"34673","CCR7",7
"34676","CCRL2",7
"34677","CCS",7
"34680","CCSER2",7
"34681","CCT2",7
"34685","CCT6A",7
"34686","CCT6B",7
"34689","CCT7",7
"34697","CD14",7
"34698","CD151",7
"34700","CD163",7
"34702","CD164",7
"34704","CD180",7
"34705","CD19",7
"34708","CD1C",7
"34711","CD2",7
"34712","CD200",7
"34715","CD209",7
"34716","CD22",7
"34720","CD247",7
"34727","CD2AP",7
"34728","CD2BP2",7
"34729","CD300A",7
"34730","CD300C",7
"34737","CD33",7
"34738","CD34",7
"34740","CD37",7
"34741","CD38",7
"34742","CD3D",7
"34743","CD3E",7
"34745","CD3G",7
"34746","CD4",7
"34747","CD40",7
"34748","CD40LG",7
"34749","CD44",7
"34751","CD46",7
"34752","CD47",7
"34754","CD5",7
"34755","CD52",7
"34756","CD53",7
"34757","CD55",7
"34758","CD58",7
"34759","CD59",7
"34760","CD5L",7
"34761","CD6",7
"34762","CD63",7
"34765","CD7",7
"34766","CD70",7
"34767","CD72",7
"34768","CD74",7
"34769","CD79A",7
"34771","CD80",7
"34772","CD81",7
"34775","CD83",7
"34776","CD84",7
"34777","CD86",7
"34778","CD8A",7
"34781","CD9",7
"34782","CD93",7
"34786","CDA",7
"34791","CDC14B",7
"34793","CDC16",7
"34797","CDC23",7
"34798","CDC25A",7
"34799","CDC25B",7
"34802","CDC27",7
"34805","CDC34",7
"34806","CDC37",7
"34808","CDC40",7
