"","gene","Freq"
"3822","CD2BP2",7
"3823","CD300A",7
"3824","CD300C",7
"3831","CD33",7
"3832","CD34",7
"3834","CD37",7
"3835","CD38",7
"3836","CD3D",7
"3837","CD3E",7
"3839","CD3G",7
"3840","CD4",7
"3841","CD40",7
"3842","CD40LG",7
"3843","CD44",7
"3845","CD46",7
"3846","CD47",7
"3848","CD5",7
"3849","CD52",7
"3850","CD53",7
"3851","CD55",7
"3852","CD58",7
"3853","CD59",7
"3854","CD5L",7
"3855","CD6",7
"3856","CD63",7
"3859","CD7",7
"3860","CD70",7
"3861","CD72",7
"3862","CD74",7
"3863","CD79A",7
"3865","CD80",7
"3866","CD81",7
"3869","CD83",7
"3870","CD84",7
"3871","CD86",7
"3872","CD8A",7
"3875","CD9",7
"3876","CD93",7
"3880","CDA",7
"3885","CDC14B",7
"3887","CDC16",7
"3891","CDC23",7
"3892","CDC25A",7
"3893","CDC25B",7
"3896","CDC27",7
"3899","CDC34",7
"3900","CDC37",7
"3902","CDC40",7
"3903","CDC42",7
"3904","CDC42BPA",7
"3907","CDC42EP1",7
"3909","CDC42EP3",7
"3910","CDC42EP4",7
"3919","CDC5L",7
"3921","CDC7",7
"3924","CDCA3",7
"3931","CDH1",7
"3933","CDH11",7
"3936","CDH15",7
"3937","CDH16",7
"3941","CDH2",7
"3943","CDH22",7
"3947","CDH3",7
"3948","CDH4",7
"3949","CDH5",7
"3950","CDH6",7
"3954","CDHR1",7
"3959","CDIPT",7
"3960","CDK1",7
"3961","CDK10",7
"3965","CDK13",7
"3966","CDK14",7
"3967","CDK16",7
"3968","CDK17",7
"3969","CDK18",7
"3970","CDK19",7
"3971","CDK2",7
"3972","CDK20",7
"3973","CDK2AP1",7
"3984","CDK6",7
"3985","CDK7",7
"3986","CDK8",7
"3987","CDK9",7
"3989","CDKL1",7
"3990","CDKL2",7
"3993","CDKL5",7
"3994","CDKN1A",7
"3995","CDKN1B",7
"3996","CDKN1C",7
"4004","CDKN2C",7
"4005","CDKN2D",7
"4008","CDO1",7
"4009","CDON",7
"4012","CDR2",7
"4013","CDR2L",7
"4015","CDS1",7
"4016","CDS2",7
"4019","CDV3",7
"4027","CDYL",7
"4029","CEACAM1",7
"4031","CEACAM21",7
"4032","CEACAM3",7
"4033","CEACAM4",7
"4041","CEBPB",7
"4043","CEBPD",7
"4045","CEBPG",7
"4054","CEL",7
"4059","CELF1",7
"4060","CELF2",7
"4062","CELF3",7
"4066","CELSR1",7
"4067","CELSR2",7
"4068","CELSR3",7
"4070","CEMIP",7
"4075","CENPB",7
"4087","CENPO",7
"4096","CEP104",7
"4101","CEP131",7
"4102","CEP135",7
"4104","CEP162",7
"4105","CEP164",7
"4108","CEP170B",7
"4111","CEP250",7
"4115","CEP350",7
"4119","CEP57",7
"4122","CEP68",7
"4149","CES2",7
"4153","CETN2",7
"4154","CETN3",7
"4155","CETP",7
"4159","CFAP20",7
"4180","CFB",7
"4181","CFD",7
"4182","CFDP1",7
"4183","CFH",7
"4193","CFLAR",7
"4196","CFTR",7
"4204","CGGBP1",7
"4207","CGREF1",7
"4208","CGRRF1",7
"4214","CHAF1A",7
"4215","CHAF1B",7
"4226","CHD1",7
"4229","CHD3",7
"4230","CHD4",7
"4231","CHD5",7
"4234","CHD8",7
"4235","CHD9",7
"4241","CHERP",7
"4243","CHGA",7
"4244","CHGB",7
"4245","CHI3L1",7
"4246","CHI3L2",7
"4251","CHIT1",7
"4252","CHKA",7
"4256","CHL1",7
"4257","CHM",7
"4259","CHMP1A",7
"4262","CHMP2A",7
"4263","CHMP2B",7
"4270","CHMP7",7
"4271","CHN1",7
"4276","CHP2",7
"4277","CHPF",7
"4281","CHRD",7
"4282","CHRDL1",7
"4287","CHRM3",7
"4296","CHRNA4",7
"4301","CHRNB1",7
"4302","CHRNB2",7
"4306","CHRNE",7
"4309","CHST1",7
"4310","CHST10",7
"4315","CHST15",7
"4316","CHST2",7
"4317","CHST3",7
"4321","CHST7",7
"4324","CHSY1",7
"4328","CHTOP",7
"4329","CHUK",7
"4332","CIAO1",7
"4335","CIAPIN1",7
"4337","CIB1",7
"4338","CIB2",7
"4339","CIC",7
"4346","CILP",7
"4349","CIR1",7
"4350","CIRBP",7
"4356","CIT",7
"4358","CITED2",7
"4360","CIZ1",7
"4362","CKAP4",7
"4363","CKAP5",7
"4364","CKB",7
"4366","CKM",7
"4369","CKMT2",7
"4374","CLASP1",7
"4375","CLASP2",7
"4376","CLASRP",7
"4378","CLC",7
"4383","CLCC1",7
"4387","CLCN3",7
"4389","CLCN4",7
"4390","CLCN5",7
"4391","CLCN6",7
"4392","CLCN7",7
"4396","CLDN10",7
"4404","CLDN18",7
"4409","CLDN3",7
"4410","CLDN4",7
"4411","CLDN5",7
"4413","CLDN7",7
"4414","CLDN8",7
"4416","CLDND1",7
"4418","CLEC10A",7
"4419","CLEC11A",7
"4422","CLEC16A",7
"4429","CLEC2B",7
"4442","CLIC2",7
"4444","CLIC4",7
"4445","CLIC5",7
"4447","CLINT1",7
"4448","CLIP1",7
"4450","CLIP2",7
"4451","CLIP3",7
"4453","CLK1",7
"4458","CLMN",7
"4466","CLOCK",7
"4467","CLP1",7
"4469","CLPP",7
"4471","CLPTM1",7
"4473","CLPX",7
"4479","CLSTN3",7
"4480","CLTA",7
"4481","CLTB",7
"4482","CLTC",7
"4483","CLTCL1",7
"4484","CLU",7
"4485","CLUAP1",7
"4486","CLUH",7
"4498","CMKLR1",7
"4510","CMTR1",7
"4513","CNBP",7
"4517","CNGA1",7
"4521","CNIH1",7
"4525","CNKSR1",7
"4529","CNN1",7
"4531","CNN3",7
"4533","CNNM2",7
"4536","CNOT1",7
"4539","CNOT2",7
"4541","CNOT4",7
"4545","CNOT8",7
"4546","CNOT9",7
"4547","CNP",7
"4548","CNPPD1",7
"4550","CNPY3",7
"4553","CNR2",7
"4559","CNTFR",7
"4561","CNTN1",7
"4562","CNTN2",7
"4573","CNTRL",7
"4575","COA1",7
"4581","COASY",7
"4582","COBL",7
"4583","COBLL1",7
"4588","COG4",7
"4589","COG5",7
"4593","COIL",7
"4594","COL10A1",7
"4598","COL13A1",7
"4599","COL14A1",7
"4600","COL15A1",7
"4601","COL16A1",7
"4602","COL17A1",7
"4606","COL19A1",7
"4607","COL1A1",7
"4608","COL1A2",7
"4618","COL3A1",7
"4619","COL4A1",7
"4620","COL4A2",7
"4623","COL4A3",7
"4625","COL4A4",7
"4626","COL4A5",7
"4627","COL4A6",7
"4629","COL5A2",7
"4631","COL6A1",7
"4632","COL6A2",7
"4633","COL6A3",7
"4637","COL7A1",7
"4641","COL9A2",7
"4645","COLEC10",7
"4649","COLGALT2",7
"4655","COMMD4",7
"4662","COMT",7
"4664","COPA",7
"4665","COPB1",7
"4666","COPB2",7
"4667","COPE",7
"4672","COPS2",7
"4673","COPS3",7
"4677","COPS6",7
"4678","COPS7A",7
"4680","COPS8",7
"4686","COQ2",7
"4691","COQ7",7
"4694","COQ9",7
"4697","CORO1B",7
"4699","CORO2A",7
"4700","CORO2B",7
"4705","COX10",7
"4707","COX11",7
"4716","COX4I1",7
"4719","COX5B",7
"4723","COX6B1",7
"4724","COX6C",7
"4725","COX7A1",7
"4726","COX7A2",7
"4729","COX7B",7
"4731","COX7C",7
"4737","CPA3",7
"4742","CPD",7
"4743","CPE",7
"4747","CPEB3",7
"4749","CPED1",7
"4755","CPM",7
"4757","CPN2",7
"4758","CPNE1",7
"4760","CPNE3",7
"4763","CPNE6",7
"4767","CPOX",7
"4769","CPQ",7
"4770","CPS1",7
"4776","CPSF4",7
"4777","CPSF6",7
"4779","CPT1A",7
"4784","CPVL",7
"4789","CR2",7
"4795","CRABP2",7
"4798","CRADD",7
"4800","CRAT",7
"4805","CRCP",7
"4807","CREB1",7
"4808","CREB3",7
"4809","CREB3L1",7
"4810","CREB3L2",7
"4813","CREB5",7
"4814","CREBBP",7
"4815","CREBL2",7
"4817","CREBZF",7
"4818","CREG1",7
"4821","CREM",7
"4823","CRHBP",7
"4826","CRIM1",7
"4828","CRIP2",7
"4836","CRISPLD2",7
"4837","CRK",7
"4838","CRKL",7
"4839","CRLF1",7
"4841","CRLF3",7
"4843","CRMP1",7
"4847","CROCC",7
"4850","CROT",7
"4854","CRTAP",7
"4855","CRTC1",7
"4859","CRY1",7
"4860","CRY2",7
