"","gene","Freq"
"917","AUP1",3
"918","AURKA",3
"919","AURKAIP1",3
"921","AURKC",3
"922","AUTS2",3
"923","AVEN",3
"924","AVIL",3
"925","AVL9",3
"926","AVP",3
"927","AVPI1",3
"928","AVPR1A",3
"929","AVPR1B",3
"930","AVPR2",3
"931","AXIN1",3
"932","AXL",3
"936","AZIN1",3
"938","B2M",3
"939","B3GALNT1",3
"942","B3GALT4",3
"944","B3GAT1",3
"945","B3GAT3",3
"946","B3GNT2",3
"947","B3GNT3",3
"948","B3GNT4",3
"949","B3GNTL1",3
"951","B4GALT1",3
"952","B4GALT2",3
"953","B4GALT3",3
"954","B4GALT4",3
"955","B4GALT5",3
"956","B4GALT6",3
"957","B4GALT7",3
"958","B4GAT1",3
"959","B9D1",3
"960","B9D2",3
"962","BAAT",3
"965","BACE2",3
"966","BACH1",3
"968","BAD",3
"969","BAG1",3
"970","BAG2",3
"971","BAG3",3
"972","BAG4",3
"973","BAG5",3
"974","BAG6",3
"975","BAHCC1",3
"976","BAHD1",3
"977","BAIAP2",3
"978","BAIAP3",3
"979","BAMBI",3
"981","BANK1",3
"982","BANP",3
"983","BAP1",3
"984","BARD1",3
"985","BARX1",3
"986","BARX2",3
"987","BASP1",3
"988","BATF",3
"989","BATF3",3
"990","BAX",3
"991","BAZ1A",3
"992","BAZ1B",3
"993","BAZ2A",3
"994","BAZ2B",3
"995","BBC3",3
"996","BBIP1",3
"997","BBOF1",3
"998","BBOX1",3
"1000","BBS10",3
"1001","BBS4",3
"1002","BBS7",3
"1003","BBS9",3
"1004","BBX",3
"1005","BCAM",3
"1006","BCAN",3
"1009","BCAR3",3
"1010","BCAS1",3
"1011","BCAS2",3
"1012","BCAS3",3
"1013","BCAS4",3
"1014","BCAT1",3
"1015","BCAT2",3
"1016","BCCIP",3
"1017","BCHE",3
"1019","BCKDHB",3
"1020","BCKDK",3
"1021","BCL10",3
"1022","BCL11A",3
"1024","BCL2",3
"1026","BCL2L1",3
"1027","BCL2L10",3
"1028","BCL2L11",3
"1029","BCL2L13",3
"1030","BCL2L14",3
"1031","BCL2L2",3
"1032","BCL3",3
"1033","BCL6",3
"1034","BCL7A",3
"1035","BCL7B",3
"1037","BCL9",3
"1038","BCLAF1",3
"1039","BCO1",3
"1041","BCORL1",3
"1043","BCS1L",3
"1044","BDH1",3
"1046","BDKRB1",3
"1047","BDKRB2",3
"1051","BEGAIN",3
"1052","BEND5",3
"1053","BEST1",3
"1054","BEST2",3
"1055","BET1",3
"1057","BEX1",3
"1058","BEX3",3
"1059","BEX4",3
"1060","BFAR",3
"1063","BGN",3
"1065","BHLHE40",3
"1066","BHLHE41",3
"1067","BHMT",3
"1068","BHMT2",3
"1069","BICC1",3
"1070","BICD1",3
"1071","BICD2",3
"1072","BICDL1",3
"1073","BID",3
"1074","BIK",3
"1075","BIN1",3
"1079","BIRC2",3
"1080","BIRC3",3
"1081","BIRC5",3
"1082","BIRC7",3
"1083","BLCAP",3
"1086","BLMH",3
"1087","BLNK",3
"1089","BLVRA",3
"1090","BLVRB",3
"1091","BMP1",3
"1092","BMP10",3
"1093","BMP15",3
"1094","BMP2",3
"1095","BMP2K",3
"1096","BMP3",3
"1097","BMP4",3
"1098","BMP5",3
"1099","BMP6",3
"1100","BMP7",3
"1101","BMP8A",3
"1103","BMPR1A",3
"1104","BMPR1B",3
"1105","BMPR2",3
"1106","BMS1",3
"1107","BMX",3
"1109","BNC2",3
"1110","BNIP1",3
"1111","BNIP2",3
"1113","BNIP3L",3
"1114","BOLA1",3
"1116","BORA",3
"1117","BORCS6",3
"1120","BPGM",3
"1122","BPI",3
"1123","BPIFA1",3
"1124","BPTF",3
"1125","BRAF",3
"1126","BRAP",3
"1127","BRCA1",3
"1129","BRCC3",3
"1130","BRD1",3
"1131","BRD2",3
"1132","BRD3",3
