"","gene","Freq"
"2083","BSG",7
"2084","BSN",6
"2085","BST1",6
"2086","BST2",7
"2087","BTAF1",6
"2088","BTBD2",7
"2089","BTBD3",6
"2090","BTBD8",6
"2091","BTC",6
"2092","BTD",6
"2103","BTG1",7
"2104","BTG2",7
"2105","BTG3",7
"2106","BTK",6
"2107","BTN1A1",6
"2108","BTN2A1",7
"2109","BTN2A2",7
"2110","BTN3A1",6
"2111","BTN3A2",7
"2112","BTN3A3",7
"2114","BTRC",7
"2115","BUB1",6
"2118","BUB3",6
"2129","BYSL",7
"2130","BZW1",6
"2131","C11orf49",6
"2132","C11orf58",7
"2135","C12orf29",7
"2136","C12orf43",6
"2137","C12orf45",6
"2140","C14orf132",6
"2144","C17orf75",7
"2145","C18orf25",7
"2147","C19orf57",6
"2148","C1D",7
"2149","C1orf105",6
"2150","C1orf112",7
"2151","C1orf21",7
"2152","C1orf216",6
"2157","C1QB",6
"2158","C1QBP",7
"2159","C1QL1",6
"2161","C1R",7
"2162","C1S",6
"2163","C2",6
"2167","C2CD2",7
"2168","C2CD2L",7
"2169","C2CD3",6
"2170","C2CD5",7
"2175","C3AR1",6
"2181","C5",6
"2182","C5orf15",7
"2183","C5orf22",6
"2184","C6",6
"2188","C6orf62",7
"2189","C7",6
"2190","C8A",6
"2192","C8G",6
"2193","C9",6
"2194","C9orf16",6
"2195","CA1",6
"2196","CA11",6
"2197","CA12",7
"2198","CA2",6
"2199","CA3",6
"2200","CA4",6
"2203","CA5B",7
"2205","CA6",6
"2208","CABIN1",6
"2209","CABP1",6
"2210","CACNA1A",6
"2211","CACNA1B",6
"2212","CACNA1C",7
"2215","CACNA1D",6
"2216","CACNA1E",7
"2218","CACNA1G",6
"2219","CACNA1H",7
"2220","CACNA1S",6
"2221","CACNA2D1",6
"2222","CACNA2D2",6
"2223","CACNB1",7
"2224","CACNB2",6
"2225","CACNB3",7
"2226","CACNB4",6
"2227","CACNG1",6
"2228","CACNG3",6
"2229","CACTIN",6
"2231","CACYBP",6
"2232","CAD",7
"2233","CADM1",7
"2235","CADM3-AS1",6
"2236","CADM4",7
"2238","CALB1",6
"2239","CALB2",6
"2240","CALCA",7
"2242","CALCOCO1",7
"2243","CALCOCO2",6
"2244","CALCR",6
"2245","CALCRL",6
"2246","CALD1",7
"2247","CALM1",7
"2248","CALM2",7
"2250","CALML3",6
"2251","CALR",6
"2252","CALU",7
"2254","CAMK1G",6
"2255","CAMK2A",6
"2256","CAMK2B",7
"2257","CAMK2G",7
"2258","CAMK4",6
"2259","CAMKK2",7
"2260","CAMLG",7
"2262","CAMSAP1",7
"2263","CAMSAP2",7
"2264","CAMTA1",7
"2266","CAND1",7
"2268","CANX",6
"2270","CAP2",7
"2272","CAPG",6
"2273","CAPN1",6
"2275","CAPN15",7
"2276","CAPN2",7
"2277","CAPN3",6
"2278","CAPN5",7
"2279","CAPN6",6
"2280","CAPN7",6
"2281","CAPN9",6
"2282","CAPNS1",6
"2283","CAPRIN1",7
"2285","CAPZA2",6
"2286","CAPZB",6
"2287","CARD10",7
"2289","CARD8",7
"2296","CASC3",7
"2297","CASK",6
"2299","CASP1",6
"2300","CASP10",7
"2301","CASP2",7
"2302","CASP3",7
"2303","CASP4",7
"2305","CASP6",6
"2306","CASP7",7
"2307","CASP8",7
"2308","CASP9",7
"2309","CASQ2",6
"2310","CASR",6
"2311","CAST",7
"2312","CAT",6
"2313","CAV1",6
"2314","CAV2",6
"2315","CAV3",6
"2317","CBARP",6
"2318","CBFA2T2",6
"2319","CBFA2T3",7
"2320","CBFB",7
"2321","CBL",7
"2322","CBLB",7
"2325","CBR1",7
"2328","CBR4",6
"2331","CBX1",6
"2332","CBX2",6
"2333","CBX3",6
"2337","CBX4",6
"2338","CBX5",7
"2339","CBX6",7
"2340","CBX7",7
"2341","CBY1",6
"2342","CCDC106",6
"2343","CCDC130",6
"2347","CCDC181",6
"2348","CCDC22",6
"2349","CCDC28A",6
"2351","CCDC6",7
"2352","CCDC69",7
"2354","CCDC85B",6
"2356","CCDC88C",6
"2357","CCDC9",6
"2358","CCDC92",7
"2359","CCDC93",7
"2360","CCHCR1",6
"2366","CCL11",6
"2367","CCL13",6
"2372","CCL17",7
"2373","CCL18",6
"2374","CCL19",7
"2375","CCL2",6
"2376","CCL20",7
"2377","CCL21",6
"2378","CCL22",6
"2386","CCL5",7
"2388","CCL8",6
"2396","CCNA2",6
"2397","CCNB1",7
"2401","CCND1",7
"2402","CCND2",7
"2403","CCND3",6
"2406","CCNF",7
"2407","CCNG1",7
"2409","CCNG2",7
"2410","CCNH",7
"2411","CCNI",6
"2412","CCNO",6
"2413","CCNT1",7
"2414","CCNT2",7
"2415","CCP110",7
"2416","CCPG1",6
"2417","CCR1",6
"2418","CCR2",7
"2419","CCR3",6
"2420","CCR4",6
"2421","CCR5",6
"2423","CCR7",7
"2425","CCR9",6
"2426","CCRL2",6
"2427","CCS",6
"2428","CCSER2",7
"2429","CCT2",7
"2433","CCT6A",7
"2434","CCT6B",6
"2435","CCT7",6
